,sentence,학습용 분류
0,"카카오 홍은택 대표는 ""이번 피해 지원은 1015 장애를 계기로 사회가 저희에게 던진 질문들에 답해나가는 과정의 시작""이라며 ""새해에는 중장기적인 관점에서 필요한 과제들을 도출하고 실행해나갈 예정""이라고 말했다.",1
1,"대통령실 관계자는 ""(영화가) 게시된 시점은 오차가 있다. 확인된 시점은 19일이었고 정상회담 직전이었다는 이야기도, 회담 나흘 뒤라는 이야기도 있어서 정상회담을 계기로 이같은 조치가 이뤄진 것으로 저희는 해석하고 있다""며 ""6년 만의 일이며 많은 문화콘텐츠 종사자분들의 숙원이기도 했다. 이 조치가 발전적 교류의 토대가 되기를 희망한다""고 말했다.",1
2,"또 ""선진국 대한민국이 대선 결과 난폭 후진하게 될까 걱정이 크다""며 ""제 가족의 시련은 저희가 감당하겠다. 송구하고 감사하다""고 덧붙였다.",1
3,"이 대표는 북구 구포시장 앞에서 한 유세 연설에서 ""국민의힘은 지금까지 저희가 하지 않았던 방식으로 선거에 도전하고 있다""며 ""저희가 지금까지 부산이나 다른 지역에 대해 소홀했던 점이 있다면 반성한다""고 했다.",1
4,"컬링 믹스더블 대표 이기정장혜지 정식종목 채택되며 일정 당겨져 ""상대에겐 부족한 젊음패기 있어… 컬링 3종목 중 메달 하나는 따야"" ""저희는 철저히 비즈니스 파트너예요.",1
5,저희한테는 굉장히 소중한 영화에요.,1
6,"이들은 ""언론에 보도된 중국과의 계약에서 멤버들이 슈퍼카를 선물 받았다는 내용과 90억 원에 대한 사실 확인을 위해 저희가 직접 웨이보를 통해 중국 왕쓰총 측(바나나 컬처)으로부터 위와 같은 사실은 허위이고 전혀 근거 없다는 공식적인 답변을 받았다""고 설명했다.",1
7,그런데 그 녀석이 이번에 갑자기 장가를 가겠다고 해서 저희 부부는 깜짝 놀랐습니다.,1
8,"홍 원내대표는 ""사실 저도 저희 권리당원이나 지지자들로부터 많은 문자를 받는다. 당원들도 완전히 의견이 둘로 나눠져 있다. 그런데 당으로서는 이렇게 당사자가 완벽하게 모든 혐의에 대해서 부정을 하고 있는데 어떠한 객관적인 근거가 확인되는 것은 수사 절차, 사법 절차 아니겠냐?""고 토로했다.",1
9,"LA에서는 워낙 자주 있는 일이라서 경찰, 시큐리티들도 가방을 차에 둔 저희 잘못이라고 거의 잡을 가능성이 없다고 한다.",1
10,"이어 ""아마 경기 초반부터 이길 수도 있겠다는 느낌이 들었다""며 ""초반에 주도권은 좀 밀렸지만 그래도 저희가 공격을 할 때마다 좋은 기회를 만들었기 때문에 그런 생각이 들었다. 해 볼만 하다는 생각이 들었던 것 같다""고 덧붙였다.",1
11,"다만, 해외업체와 가격 경쟁을 하기엔 저희가 유리한 입장은 아닙니다.",1
12,저희 오빠인 브라운이 단연 제일 인기가 많아요.,1
13,"글쓴이는 ""그중 한 명이 ""우리 아빠가 변호사인데 너 죽여버려줘?’라고 하며 얼굴을 때리고 눈을 손으로 팠다""며 ""지금 저희 할아버지께서는 광대뼈가 부러지고, 치아가 부러져서 밥도 제대로 못 드시는 상황""이라고 주장했다.",1
14,"BTS는 최근 서명 및 발효된 ""아시안 증오범죄 방지 법안’에 대해 감사를 표하며 ""아시아계 대상 혐오범죄의 해결책을 찾는 데 저희도 조그만 노력이라도 할 수 있기 바란다""고 말했다.",1
15,"하지만 논란이 커지자 지난 26일 기자회견을 열고 ""'돈스코이호 150조원 보물'이라는 문구는 일부 언론 보도 및 추측성 자료를 검증 없이 인용한 것""이라며 ""150조원이라는 금액이 어떻게 나온 건지 저희도 알 수 없다""고 공개사과했다.",1
16,"안 의원은 이날 국회에서 열린 원내대책회의에서 ""저희들도 잘못한 것이 있지만 요즘 청와대 지지율을 보면서 '정말 호랑이보다 무섭구나' 이렇게 경제를 엉망으로 만들고 일자리를 파괴하고 미래에 대한 국민들의 희망을 꺾는 정부가 있을 수 있구나 생각한다""라고 말했다.",1
17,"저희의 입장은 택시로서 충분히 이런 부분들은 커버가 가능하다는 입장"" 이라며 "" 택시가 전국에 공급 과잉 상태다.",1
